CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100)
16342,Male,25,140537,76
21077,Female,34,55650,58
34306,Female,49,33790,8
34026,Female,37,171171,98
42620,Female,26,66042,54
19756,Female,24,47884,29
19261,Female,49,135186,13
39782,Female,24,45209,17
1164,Male,27,58349,53
8556,Female,18,269584,97
5298,Female,59,37323,11
7535,Male,45,269894,81
22383,Male,36,30280,93
4444,Male,37,23008,34
29935,Female,30,113816,23
28479,Female,27,35425,39
39550,Female,31,35139,36
15950,Female,18,113255,98
6507,Male,32,116122,27
24049,Female,34,67752,46
40227,Male,30,33745,77
49669,Male,44,80217,54
15203,Male,29,24931,24
30460,Female,37,24877,73
31242,Male,35,55833,67
23549,Male,24,45093,61
38888,Male,33,210949,97
30991,Male,32,55829,51
33326,Female,50,192745,86
18463,Female,60,52767,53
16907,Female,39,139812,5
3777,Female,46,67044,45
28662,Male,26,121915,75
40738,Male,25,80361,49
31929,Female,30,60166,49
11407,Female,30,78327,53
10572,Female,38,32507,16
41366,Male,26,53160,49
33932,Male,50,212703,95
27951,Male,37,211302,89
22101,Male,23,164140,89
29367,Male,34,163126,82
9611,Female,22,48403,13
29301,Male,25,57862,54
11800,Male,26,21220,85
25371,Male,39,58443,42
5422,Female,18,34511,5
18491,Male,23,41238,75
9972,Male,36,83866,45
26556,Male,34,25153,17
11767,Female,47,87784,55
12567,Female,25,43124,38
21744,Female,48,27321,25
609,Male,39,56184,55
19118,Male,30,62061,44
28960,Female,27,35008,36
27690,Female,34,52847,70
21437,Female,40,41468,75
21065,Female,32,50082,28
24860,Male,18,40875,14
14142,Male,36,88482,51
46041,Male,49,62790,53
29421,Male,35,76747,46
13850,Female,50,40977,83
3361,Male,41,15970,27
47556,Female,31,137932,26
35315,Male,55,57770,49
42506,Female,36,80878,44
23292,Female,48,77373,41
42020,Male,36,46447,59
46839,Female,20,50544,77
22081,Female,40,77988,45
47909,Female,41,47903,8
27372,Male,30,81908,50
7140,Male,35,54481,54
26260,Female,43,42285,9
23286,Female,35,157773,70
35649,Female,30,92945,13
4121,Male,41,67762,49
325,Male,18,42363,9
44936,Female,27,139765,90
43409,Female,34,232534,86
25553,Male,39,57494,42
40161,Male,50,295257,87
33215,Female,41,25445,13
6830,Male,37,38682,78
30915,Female,41,44321,30
24427,Female,24,252231,86
39405,Male,51,48484,66
2063,Female,54,78204,48
45104,Male,32,151338,14
20793,Female,33,74475,48
32399,Female,19,38618,12
18724,Female,35,26697,32
31428,Male,34,60475,45
7490,Female,30,54472,88
25149,Female,30,99224,32
5028,Female,64,47618,41
32331,Female,30,19844,8
27298,Female,26,93425,85
34279,Female,30,56412,41
44926,Female,42,50247,12
23153,Female,40,54900,13
43633,Male,23,74514,54
27859,Male,29,58788,53
18565,Male,28,54089,26
49450,Female,34,56223,62
24310,Male,51,16327,74
24955,Female,36,33614,21
15400,Female,43,64767,56
7616,Male,20,18808,62
2514,Male,29,73714,47
7808,Male,24,28960,95
11060,Male,36,47208,61
35966,Female,36,77217,52
11752,Female,50,72245,41
9432,Male,36,47509,9
48486,Male,40,118929,71
48347,Male,23,55998,44
25902,Male,44,58351,44
15473,Female,45,55648,54
9943,Male,22,91274,41
12395,Male,36,134321,80
46139,Female,21,91329,76
32239,Male,33,180925,17
48849,Female,47,49288,25
41946,Female,40,21658,32
16101,Female,20,23952,21
39280,Male,30,203640,72
8407,Male,33,97367,18
16548,Female,38,84865,52
9621,Male,43,34582,25
4964,Male,21,74391,52
47442,Female,21,81888,41
1531,Male,29,73216,46
5279,Female,28,86094,58
1786,Male,32,135247,19
24260,Male,50,27073,98
24793,Female,25,61327,43
18212,Male,34,264993,80
27362,Female,25,92688,45
25863,Male,28,86726,6
19064,Male,36,57563,58
46340,Female,57,56338,43
34470,Male,36,39674,61
47803,Female,44,85204,44
48034,Male,29,44459,34
47962,Male,45,128350,73
43185,Male,31,57445,50
31261,Male,38,68033,59
19521,Female,38,179343,33
6331,Male,50,28277,27
12483,Male,18,124309,73
37395,Male,48,76936,44
10102,Female,36,61540,53
40812,Male,26,238734,78
34054,Female,22,21858,67
38951,Female,39,83282,48
14784,Male,40,27673,17
43451,Female,20,106418,79
49861,Male,42,53033,41
34929,Male,40,79809,57
29753,Male,50,158011,24
26171,Female,27,26742,26
43094,Male,25,91507,51
10215,Male,18,245718,83
43759,Male,18,70163,46
26692,Female,35,86598,51
20418,Female,18,62124,57
33502,Male,41,27604,81
3033,Female,28,44782,58
9311,Female,75,101158,22
7054,Female,18,165523,26
7713,Female,31,26004,60
9554,Male,31,104408,30
45198,Male,34,83674,58
27067,Male,45,84536,40
29110,Male,24,26251,80
47607,Male,34,42917,26
26933,Male,47,163660,14
34621,Male,54,88219,52
11352,Female,24,29487,84
22885,Male,34,102097,79
30741,Female,27,78261,54
40759,Female,34,40116,87
48104,Female,23,155150,91
10561,Male,19,52362,37
23000,Female,22,97182,49
34430,Female,33,216894,73
34503,Male,35,53450,87
17869,Male,55,20225,26
21861,Female,49,40834,98
35037,Female,38,43974,8
18117,Male,23,22339,34
19744,Female,40,215243,72
31490,Female,18,48526,73
24905,Male,46,127197,29
1982,Male,24,72882,56
29191,Male,29,54901,28
15699,Male,39,59910,55
40103,Male,49,130060,25
18022,Male,44,83445,44
49868,Female,44,17812,12
27236,Female,20,38829,89
38720,Male,33,92196,44
14313,Female,45,61482,55
26827,Female,44,45468,76
