CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),cluster,segment,dbscan_cluster
16342,Male,25,140537,76,3,High Income - Low Spending,0
21077,Female,34,55650,58,0,Low Income - Low Spending,0
34306,Female,49,33790,8,2,Low Income - High Spending,0
34026,Female,37,171171,98,3,High Income - Low Spending,0
42620,Female,26,66042,54,0,Low Income - Low Spending,0
19756,Female,24,47884,29,0,Low Income - Low Spending,0
19261,Female,49,135186,13,4,Average Customers,0
39782,Female,24,45209,17,0,Low Income - Low Spending,0
1164,Male,27,58349,53,0,Low Income - Low Spending,0
8556,Female,18,269584,97,3,High Income - Low Spending,0
5298,Female,59,37323,11,2,Low Income - High Spending,0
7535,Male,45,269894,81,3,High Income - Low Spending,0
22383,Male,36,30280,93,1,High Income - High Spending,0
4444,Male,37,23008,34,2,Low Income - High Spending,0
29935,Female,30,113816,23,4,Average Customers,0
28479,Female,27,35425,39,0,Low Income - Low Spending,0
39550,Female,31,35139,36,0,Low Income - Low Spending,0
15950,Female,18,113255,98,1,High Income - High Spending,0
6507,Male,32,116122,27,4,Average Customers,0
24049,Female,34,67752,46,0,Low Income - Low Spending,0
40227,Male,30,33745,77,1,High Income - High Spending,0
49669,Male,44,80217,54,2,Low Income - High Spending,0
15203,Male,29,24931,24,0,Low Income - Low Spending,0
30460,Female,37,24877,73,1,High Income - High Spending,0
31242,Male,35,55833,67,1,High Income - High Spending,0
23549,Male,24,45093,61,0,Low Income - Low Spending,0
38888,Male,33,210949,97,3,High Income - Low Spending,0
30991,Male,32,55829,51,0,Low Income - Low Spending,0
33326,Female,50,192745,86,3,High Income - Low Spending,0
18463,Female,60,52767,53,2,Low Income - High Spending,0
16907,Female,39,139812,5,4,Average Customers,0
3777,Female,46,67044,45,2,Low Income - High Spending,0
28662,Male,26,121915,75,1,High Income - High Spending,0
40738,Male,25,80361,49,0,Low Income - Low Spending,0
31929,Female,30,60166,49,0,Low Income - Low Spending,0
11407,Female,30,78327,53,0,Low Income - Low Spending,0
10572,Female,38,32507,16,2,Low Income - High Spending,0
41366,Male,26,53160,49,0,Low Income - Low Spending,0
33932,Male,50,212703,95,3,High Income - Low Spending,0
27951,Male,37,211302,89,3,High Income - Low Spending,0
22101,Male,23,164140,89,3,High Income - Low Spending,0
29367,Male,34,163126,82,3,High Income - Low Spending,0
9611,Female,22,48403,13,0,Low Income - Low Spending,0
29301,Male,25,57862,54,0,Low Income - Low Spending,0
11800,Male,26,21220,85,1,High Income - High Spending,0
25371,Male,39,58443,42,2,Low Income - High Spending,0
5422,Female,18,34511,5,0,Low Income - Low Spending,0
18491,Male,23,41238,75,1,High Income - High Spending,0
9972,Male,36,83866,45,0,Low Income - Low Spending,0
26556,Male,34,25153,17,0,Low Income - Low Spending,0
11767,Female,47,87784,55,2,Low Income - High Spending,0
12567,Female,25,43124,38,0,Low Income - Low Spending,0
21744,Female,48,27321,25,2,Low Income - High Spending,0
609,Male,39,56184,55,2,Low Income - High Spending,0
19118,Male,30,62061,44,0,Low Income - Low Spending,0
28960,Female,27,35008,36,0,Low Income - Low Spending,0
27690,Female,34,52847,70,1,High Income - High Spending,0
21437,Female,40,41468,75,1,High Income - High Spending,0
21065,Female,32,50082,28,0,Low Income - Low Spending,0
24860,Male,18,40875,14,0,Low Income - Low Spending,0
14142,Male,36,88482,51,0,Low Income - Low Spending,0
46041,Male,49,62790,53,2,Low Income - High Spending,0
29421,Male,35,76747,46,0,Low Income - Low Spending,0
13850,Female,50,40977,83,1,High Income - High Spending,0
3361,Male,41,15970,27,2,Low Income - High Spending,0
47556,Female,31,137932,26,4,Average Customers,0
35315,Male,55,57770,49,2,Low Income - High Spending,0
42506,Female,36,80878,44,0,Low Income - Low Spending,0
23292,Female,48,77373,41,2,Low Income - High Spending,0
42020,Male,36,46447,59,1,High Income - High Spending,0
46839,Female,20,50544,77,1,High Income - High Spending,0
22081,Female,40,77988,45,2,Low Income - High Spending,0
47909,Female,41,47903,8,2,Low Income - High Spending,0
27372,Male,30,81908,50,0,Low Income - Low Spending,0
7140,Male,35,54481,54,0,Low Income - Low Spending,0
26260,Female,43,42285,9,2,Low Income - High Spending,0
23286,Female,35,157773,70,3,High Income - Low Spending,0
35649,Female,30,92945,13,4,Average Customers,0
4121,Male,41,67762,49,2,Low Income - High Spending,0
325,Male,18,42363,9,0,Low Income - Low Spending,0
44936,Female,27,139765,90,3,High Income - Low Spending,0
43409,Female,34,232534,86,3,High Income - Low Spending,0
25553,Male,39,57494,42,2,Low Income - High Spending,0
40161,Male,50,295257,87,3,High Income - Low Spending,0
33215,Female,41,25445,13,2,Low Income - High Spending,0
6830,Male,37,38682,78,1,High Income - High Spending,0
30915,Female,41,44321,30,2,Low Income - High Spending,0
24427,Female,24,252231,86,3,High Income - Low Spending,0
39405,Male,51,48484,66,2,Low Income - High Spending,0
2063,Female,54,78204,48,2,Low Income - High Spending,0
45104,Male,32,151338,14,4,Average Customers,0
20793,Female,33,74475,48,0,Low Income - Low Spending,0
32399,Female,19,38618,12,0,Low Income - Low Spending,0
18724,Female,35,26697,32,0,Low Income - Low Spending,0
31428,Male,34,60475,45,0,Low Income - Low Spending,0
7490,Female,30,54472,88,1,High Income - High Spending,0
25149,Female,30,99224,32,0,Low Income - Low Spending,0
5028,Female,64,47618,41,2,Low Income - High Spending,0
32331,Female,30,19844,8,0,Low Income - Low Spending,0
27298,Female,26,93425,85,1,High Income - High Spending,0
34279,Female,30,56412,41,0,Low Income - Low Spending,0
44926,Female,42,50247,12,2,Low Income - High Spending,0
23153,Female,40,54900,13,2,Low Income - High Spending,0
43633,Male,23,74514,54,0,Low Income - Low Spending,0
27859,Male,29,58788,53,0,Low Income - Low Spending,0
18565,Male,28,54089,26,0,Low Income - Low Spending,0
49450,Female,34,56223,62,1,High Income - High Spending,0
24310,Male,51,16327,74,2,Low Income - High Spending,0
24955,Female,36,33614,21,0,Low Income - Low Spending,0
15400,Female,43,64767,56,2,Low Income - High Spending,0
7616,Male,20,18808,62,0,Low Income - Low Spending,0
2514,Male,29,73714,47,0,Low Income - Low Spending,0
7808,Male,24,28960,95,1,High Income - High Spending,0
11060,Male,36,47208,61,1,High Income - High Spending,0
35966,Female,36,77217,52,0,Low Income - Low Spending,0
11752,Female,50,72245,41,2,Low Income - High Spending,0
9432,Male,36,47509,9,4,Average Customers,0
48486,Male,40,118929,71,1,High Income - High Spending,0
48347,Male,23,55998,44,0,Low Income - Low Spending,0
25902,Male,44,58351,44,2,Low Income - High Spending,0
15473,Female,45,55648,54,2,Low Income - High Spending,0
9943,Male,22,91274,41,0,Low Income - Low Spending,0
12395,Male,36,134321,80,3,High Income - Low Spending,0
46139,Female,21,91329,76,1,High Income - High Spending,0
32239,Male,33,180925,17,4,Average Customers,0
48849,Female,47,49288,25,2,Low Income - High Spending,0
41946,Female,40,21658,32,2,Low Income - High Spending,0
16101,Female,20,23952,21,0,Low Income - Low Spending,0
39280,Male,30,203640,72,3,High Income - Low Spending,0
8407,Male,33,97367,18,4,Average Customers,0
16548,Female,38,84865,52,2,Low Income - High Spending,0
9621,Male,43,34582,25,2,Low Income - High Spending,0
4964,Male,21,74391,52,0,Low Income - Low Spending,0
47442,Female,21,81888,41,0,Low Income - Low Spending,0
1531,Male,29,73216,46,0,Low Income - Low Spending,0
5279,Female,28,86094,58,0,Low Income - Low Spending,0
1786,Male,32,135247,19,4,Average Customers,0
24260,Male,50,27073,98,1,High Income - High Spending,0
24793,Female,25,61327,43,0,Low Income - Low Spending,0
18212,Male,34,264993,80,3,High Income - Low Spending,0
27362,Female,25,92688,45,0,Low Income - Low Spending,0
25863,Male,28,86726,6,4,Average Customers,0
19064,Male,36,57563,58,1,High Income - High Spending,0
46340,Female,57,56338,43,2,Low Income - High Spending,0
34470,Male,36,39674,61,1,High Income - High Spending,0
47803,Female,44,85204,44,2,Low Income - High Spending,0
48034,Male,29,44459,34,0,Low Income - Low Spending,0
47962,Male,45,128350,73,2,Low Income - High Spending,0
43185,Male,31,57445,50,0,Low Income - Low Spending,0
31261,Male,38,68033,59,2,Low Income - High Spending,0
19521,Female,38,179343,33,4,Average Customers,0
6331,Male,50,28277,27,2,Low Income - High Spending,0
12483,Male,18,124309,73,0,Low Income - Low Spending,0
37395,Male,48,76936,44,2,Low Income - High Spending,0
10102,Female,36,61540,53,0,Low Income - Low Spending,0
40812,Male,26,238734,78,3,High Income - Low Spending,0
34054,Female,22,21858,67,0,Low Income - Low Spending,0
38951,Female,39,83282,48,2,Low Income - High Spending,0
14784,Male,40,27673,17,2,Low Income - High Spending,0
43451,Female,20,106418,79,1,High Income - High Spending,0
49861,Male,42,53033,41,2,Low Income - High Spending,0
34929,Male,40,79809,57,2,Low Income - High Spending,0
29753,Male,50,158011,24,4,Average Customers,0
26171,Female,27,26742,26,0,Low Income - Low Spending,0
43094,Male,25,91507,51,0,Low Income - Low Spending,0
10215,Male,18,245718,83,3,High Income - Low Spending,0
43759,Male,18,70163,46,0,Low Income - Low Spending,0
26692,Female,35,86598,51,0,Low Income - Low Spending,0
20418,Female,18,62124,57,0,Low Income - Low Spending,0
33502,Male,41,27604,81,1,High Income - High Spending,0
3033,Female,28,44782,58,0,Low Income - Low Spending,0
9311,Female,75,101158,22,2,Low Income - High Spending,0
7054,Female,18,165523,26,4,Average Customers,0
7713,Female,31,26004,60,1,High Income - High Spending,0
9554,Male,31,104408,30,4,Average Customers,0
45198,Male,34,83674,58,0,Low Income - Low Spending,0
27067,Male,45,84536,40,2,Low Income - High Spending,0
29110,Male,24,26251,80,1,High Income - High Spending,0
47607,Male,34,42917,26,0,Low Income - Low Spending,0
26933,Male,47,163660,14,4,Average Customers,0
34621,Male,54,88219,52,2,Low Income - High Spending,0
11352,Female,24,29487,84,1,High Income - High Spending,0
22885,Male,34,102097,79,1,High Income - High Spending,0
30741,Female,27,78261,54,0,Low Income - Low Spending,0
40759,Female,34,40116,87,1,High Income - High Spending,0
48104,Female,23,155150,91,3,High Income - Low Spending,0
10561,Male,19,52362,37,0,Low Income - Low Spending,0
23000,Female,22,97182,49,0,Low Income - Low Spending,0
34430,Female,33,216894,73,3,High Income - Low Spending,0
34503,Male,35,53450,87,1,High Income - High Spending,0
17869,Male,55,20225,26,2,Low Income - High Spending,0
21861,Female,49,40834,98,1,High Income - High Spending,0
35037,Female,38,43974,8,4,Average Customers,0
18117,Male,23,22339,34,0,Low Income - Low Spending,0
19744,Female,40,215243,72,3,High Income - Low Spending,0
31490,Female,18,48526,73,1,High Income - High Spending,0
24905,Male,46,127197,29,2,Low Income - High Spending,0
1982,Male,24,72882,56,0,Low Income - Low Spending,0
29191,Male,29,54901,28,0,Low Income - Low Spending,0
15699,Male,39,59910,55,2,Low Income - High Spending,0
40103,Male,49,130060,25,2,Low Income - High Spending,0
18022,Male,44,83445,44,2,Low Income - High Spending,0
49868,Female,44,17812,12,2,Low Income - High Spending,0
27236,Female,20,38829,89,1,High Income - High Spending,0
38720,Male,33,92196,44,0,Low Income - Low Spending,0
14313,Female,45,61482,55,2,Low Income - High Spending,0
26827,Female,44,45468,76,1,High Income - High Spending,0
30508,Female,44,93566,47,2,Low Income - High Spending,0
45202,Male,35,42228,15,0,Low Income - Low Spending,0
31163,Male,36,49200,12,4,Average Customers,0
5854,Male,49,112901,34,2,Low Income - High Spending,0
42912,Male,24,125895,7,4,Average Customers,0
4836,Male,35,267362,92,3,High Income - Low Spending,0
46349,Female,27,15000,74,1,High Income - High Spending,0
4864,Female,36,66217,40,0,Low Income - Low Spending,0
21794,Male,32,35120,70,1,High Income - High Spending,0
20796,Male,38,83494,50,2,Low Income - High Spending,0
11967,Female,43,61488,55,2,Low Income - High Spending,0
36681,Female,50,141935,13,4,Average Customers,0
46370,Female,45,72351,52,2,Low Income - High Spending,0
21155,Male,54,215551,92,3,High Income - Low Spending,0
4276,Female,41,34980,82,1,High Income - High Spending,0
17562,Male,38,235147,90,3,High Income - Low Spending,0
41947,Male,22,76654,47,0,Low Income - Low Spending,0
16905,Female,18,73518,45,0,Low Income - Low Spending,0
22241,Male,25,82980,54,0,Low Income - Low Spending,0
22480,Male,34,75590,58,0,Low Income - Low Spending,0
47812,Male,38,90087,40,2,Low Income - High Spending,0
25783,Male,33,80337,52,0,Low Income - Low Spending,0
11974,Female,18,54567,59,0,Low Income - Low Spending,0
26635,Female,18,81479,54,0,Low Income - Low Spending,0
10601,Male,48,24862,75,1,High Income - High Spending,0
21359,Female,18,255680,88,3,High Income - Low Spending,0
20123,Male,50,24309,68,2,Low Income - High Spending,0
10622,Female,48,42721,37,2,Low Income - High Spending,0
47882,Male,18,174208,87,3,High Income - Low Spending,0
3125,Female,36,26114,89,1,High Income - High Spending,0
44675,Female,54,33568,32,2,Low Income - High Spending,0
10073,Male,37,38983,16,2,Low Income - High Spending,0
21029,Female,38,76713,41,2,Low Income - High Spending,0
6983,Male,39,80903,47,2,Low Income - High Spending,0
33025,Male,26,29391,89,1,High Income - High Spending,0
47564,Female,34,72975,49,0,Low Income - Low Spending,0
26339,Female,26,110180,96,1,High Income - High Spending,0
7563,Female,34,48487,45,0,Low Income - Low Spending,0
18983,Male,39,28064,18,2,Low Income - High Spending,0
44676,Female,34,83071,43,0,Low Income - Low Spending,0
18793,Female,28,153545,10,4,Average Customers,0
38379,Male,30,66462,55,0,Low Income - Low Spending,0
28991,Female,32,55990,54,0,Low Income - Low Spending,0
37185,Male,18,87909,23,0,Low Income - Low Spending,0
35114,Female,44,22675,75,1,High Income - High Spending,0
11794,Male,34,264582,79,3,High Income - Low Spending,0
31444,Female,40,46864,24,2,Low Income - High Spending,0
645,Male,34,36057,75,1,High Income - High Spending,0
42299,Female,48,43147,15,2,Low Income - High Spending,0
46019,Female,44,113541,21,4,Average Customers,0
23914,Male,37,22662,18,2,Low Income - High Spending,0
15696,Male,27,51667,91,1,High Income - High Spending,0
35375,Female,46,63257,41,2,Low Income - High Spending,0
23143,Female,48,84351,51,2,Low Income - High Spending,0
35962,Male,37,59320,47,2,Low Income - High Spending,0
5545,Male,32,52533,34,0,Low Income - Low Spending,0
21536,Male,48,121493,73,2,Low Income - High Spending,0
15898,Female,30,24890,97,1,High Income - High Spending,0
15722,Female,22,28982,70,1,High Income - High Spending,0
26037,Female,27,33091,66,1,High Income - High Spending,0
21680,Male,40,47367,52,2,Low Income - High Spending,0
1306,Female,48,67112,50,2,Low Income - High Spending,0
31726,Male,22,74197,59,0,Low Income - Low Spending,0
24534,Male,24,160952,83,3,High Income - Low Spending,0
9457,Male,42,25553,29,2,Low Income - High Spending,0
40781,Male,32,19687,23,0,Low Income - Low Spending,0
47412,Female,46,57432,56,2,Low Income - High Spending,0
48200,Female,48,19972,30,2,Low Income - High Spending,0
12618,Female,47,186973,71,3,High Income - Low Spending,0
34210,Female,53,28670,24,2,Low Income - High Spending,0
8678,Male,18,48934,25,0,Low Income - Low Spending,0
31461,Male,58,26573,25,2,Low Income - High Spending,0
34235,Female,35,61843,54,0,Low Income - Low Spending,0
23186,Female,37,74039,46,2,Low Income - High Spending,0
46137,Male,18,60166,58,0,Low Income - Low Spending,0
34676,Female,38,16612,25,2,Low Income - High Spending,0
39582,Female,34,56952,40,0,Low Income - Low Spending,0
38677,Female,26,86191,10,4,Average Customers,0
12300,Female,20,72486,54,0,Low Income - Low Spending,0
16066,Female,26,130091,84,1,High Income - High Spending,0
9555,Female,27,107995,27,4,Average Customers,0
44233,Female,41,30310,94,1,High Income - High Spending,0
25293,Male,26,85711,53,0,Low Income - Low Spending,0
33855,Female,18,61558,55,0,Low Income - Low Spending,0
8758,Female,21,45695,23,0,Low Income - Low Spending,0
47611,Female,57,39405,5,2,Low Income - High Spending,0
8287,Female,36,74112,42,0,Low Income - Low Spending,0
26087,Male,50,116270,27,2,Low Income - High Spending,0
26971,Male,18,122401,32,0,Low Income - Low Spending,0
19407,Female,21,71720,41,0,Low Income - Low Spending,0
8135,Male,51,53383,54,2,Low Income - High Spending,0
36957,Male,39,149980,8,4,Average Customers,0
35306,Male,19,60934,47,0,Low Income - Low Spending,0
16311,Male,39,88329,43,2,Low Income - High Spending,0
16478,Male,30,117409,29,4,Average Customers,0
45779,Female,47,110200,75,2,Low Income - High Spending,0
15491,Female,29,34615,25,0,Low Income - Low Spending,0
45391,Male,18,43590,39,0,Low Income - Low Spending,0
28021,Female,26,70278,40,0,Low Income - Low Spending,0
2826,Male,35,289527,95,3,High Income - Low Spending,0
45058,Male,49,143447,87,3,High Income - Low Spending,0
17280,Male,60,25822,12,2,Low Income - High Spending,0
5199,Male,26,48722,89,1,High Income - High Spending,0
25827,Male,29,31049,75,1,High Income - High Spending,0
42630,Female,27,62715,56,0,Low Income - Low Spending,0
3481,Male,41,64279,43,2,Low Income - High Spending,0
